ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,Year Range,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%)
41000,Bronte Public School,Bronte,2024,Primary,Major Cities,-33.9006,151.262,96,Government,School Single Entity,Department of Education NSW,K-6,1162,1,5,22,72,20,20.8,5,2.9,388,182,206,388,0,19
41365,Berala Public School,Berala,2141,Primary,Major Cities,-33.8697,151.028,81,Government,School Single Entity,Department of Education NSW,K-6,974,45,30,19,7,53,55.5,10,5.2,826,413,413,826,1,96
41001,Camdenville Public School,Newtown,2042,Primary,Major Cities,-33.9061,151.176,92,Government,School Single Entity,Department of Education NSW,P-6,1118,7,10,25,58,18,20.5,6,5.5,344,166,178,344,3,23
41862,Beresfield Public School,Beresfield,2322,Primary,Major Cities,-32.8036,151.653,81,Government,School Single Entity,Department of Education NSW,"U, K-6",932,55,31,11,3,19,20.2,9,6.3,308,145,163,308,15,5
41002,Canterbury Public School,Canterbury,2193,Primary,Major Cities,-33.9088,151.122,85,Government,School Single Entity,Department of Education NSW,"U, K-6",1061,16,22,28,34,26,32.4,8,7.9,369,178,191,369,4,63
41732,Beresford Road Public School,Greystanes,2145,Primary,Major Cities,-33.8145,150.941,86,Government,School Single Entity,Department of Education NSW,"U, K-6",1030,22,27,30,21,36,41,9,7.3,701,350,351,701,3,62
41003,Caringbah Public School,Caringbah,2229,Primary,Major Cities,-34.0534,151.123,91,Government,School Single Entity,Department of Education NSW,"U, K-6",1068,9,29,34,28,18,19.3,4,5.5,274,127,147,274,1,22
42880,Berinba Public School,Yass,2582,Primary,Inner Regional,-34.8431,148.915,70,Government,School Single Entity,Department of Education NSW,"U, K-6",981,36,29,24,11,18,20.2,7,5.6,276,128,148,276,10,3
41004,Carlton Public School,Bexley,2207,Primary,Major Cities,-33.9635,151.122,89,Government,School Single Entity,Department of Education NSW,K-6,1060,13,26,33,28,51,53.3,5,4.9,836,391,445,836,0,92
42725,Berkeley Public School,Berkeley,2506,Primary,Major Cities,-34.4802,150.856,73,Government,School Single Entity,Department of Education NSW,K-6,926,55,31,10,4,19,19.6,6,2.9,348,170,178,348,16,27
41005,Carlton South Public School,Carlton,2218,Primary,Major Cities,-33.973,151.128,89,Government,School Single Entity,Department of Education NSW,K-6,1066,13,25,33,30,32,37.4,4,4.3,645,301,344,645,0,79
41863,Berkeley Vale Public School,Berkeley Vale,2261,Primary,Major Cities,-33.3505,151.436,81,Government,School Single Entity,Department of Education NSW,K-6,992,29,38,24,9,38,39.9,4,4.5,699,356,343,699,9,7
41006,Clemton Park Public School,Earlwood,2206,Primary,Major Cities,-33.9297,151.108,86,Government,School Single Entity,Department of Education NSW,K-6,1046,15,30,32,23,32,37.9,5,4.1,592,272,320,592,2,82
42864,Berkeley West Public School,Berkeley,2506,Primary,Major Cities,-34.4755,150.841,76,Government,School Single Entity,Department of Education NSW,K-6,906,64,24,9,3,10,13.2,3,2.4,220,120,100,220,21,16
41007,Clovelly Public School,Waverley,2024,Primary,Major Cities,-33.9074,151.26,94,Government,School Single Entity,Department of Education NSW,K-6,1151,1,7,23,70,30,32.3,5,4.1,599,313,286,599,1,20
42726,Bermagui Public School,Bermagui,2546,Primary,Outer Regional,-36.4208,150.064,71,Government,School Single Entity,Department of Education NSW,K-6,933,45,27,20,8,10,10.9,3,2.9,171,97,74,171,20,6
41008,Como Public School,Como,2226,Primary,Major Cities,-34.0018,151.069,90,Government,School Single Entity,Department of Education NSW,K-6,1079,11,19,30,41,4,4.9,1,1.5,93,39,54,93,6,11
41199,Berowra Public School,Berowra,2081,Primary,Major Cities,-33.6185,151.149,91,Government,School Single Entity,Department of Education NSW,K-6,1098,6,17,34,43,19,21.9,4,3.1,419,186,233,419,0,14
41009,Connells Point Public School,South Hurstville,2221,Primary,Major Cities,-33.9847,151.1,93,Government,School Single Entity,Department of Education NSW,K-6,1089,7,19,35,39,26,31,5,4.1,552,257,295,552,1,76
42727,Berridale Public School,Berridale,2628,Primary,Outer Regional,-36.3714,148.827,,Government,School Single Entity,Department of Education NSW,K-6,985,30,38,24,8,1,3.8,2,1.4,56,30,26,56,9,0
41010,Coogee Public School,Coogee,2034,Primary,Major Cities,-33.9205,151.25,90,Government,School Single Entity,Department of Education NSW,K-6,1131,2,10,27,60,30,32.5,7,4.1,615,308,307,615,1,33
42543,Berrigan Public School,Berrigan,2712,Primary,Outer Regional,-35.6597,145.816,74,Government,School Single Entity,Department of Education NSW,K-6,959,45,31,18,5,5,5.1,4,1.5,71,31,40,71,6,3
41011,Cronulla Public School,Cronulla,2230,Primary,Major Cities,-34.0541,151.148,88,Government,School Single Entity,Department of Education NSW,"U, K-6",1061,11,28,34,27,18,24.4,5,4.1,438,206,232,438,2,25
42728,Berrima Public School,Berrima,2577,Primary,Inner Regional,-34.4859,150.341,90,Government,School Single Entity,Department of Education NSW,K-6,1041,16,28,33,22,6,8.5,3,1.9,157,78,79,157,4,6
41012,Darlington Public School,Chippendale,2008,Primary,Major Cities,-33.8926,151.189,80,Government,School Single Entity,Department of Education NSW,P-6,1023,18,19,28,35,17,17.9,6,5.6,206,98,108,206,24,33
42729,Berry Public School,Berry,2535,Primary,Inner Regional,-34.7783,150.69,93,Government,School Single Entity,Department of Education NSW,K-6,1063,12,25,31,32,15,17.1,4,2.8,325,143,182,325,3,11
41013,Double Bay Public School,Double Bay,2028,Primary,Major Cities,-33.8749,151.241,97,Government,School Single Entity,Department of Education NSW,K-6,1148,2,8,24,66,16,18.3,4,2.8,341,189,152,341,0,31
