Location,School Name,Type,Latitude,Longitude,Better Education Score
Western Australia,BUNBURY PRIMARY SCHOOL,Primary,-33.33305655,115.6381042,95
Western Australia,BUNBURY CATHEDRAL GRAMMAR SCHOOL,Primary,-33.404668,115.63864,99
Western Australia,BUNBURY CATHEDRAL GRAMMAR SCHOOL,Secondary,-33.404668,115.63864,97
Western Australia,SOUTH BUNBURY PRIMARY SCHOOL,Primary,-33.34068153,115.6428274,78
Western Australia,FALCON PRIMARY SCHOOL,Primary,-32.59274022,115.6429808,87
Western Australia,YANCHEP SECONDARY COLLEGE,Secondary,-31.552523,115.643429,79
Western Australia,ATLANTIS BEACH BAPTIST COLLEGE,Primary,-31.473535,115.644623,83
Western Australia,ATLANTIS BEACH BAPTIST COLLEGE,Secondary,-31.473535,115.644623,89
Western Australia,ST MARY'S CATHOLIC PRIMARY SCHOOL,Primary,-33.34321035,115.6449424,96
Western Australia,CAREY PARK PRIMARY SCHOOL,Primary,-33.34906206,115.6505098,69
Western Australia,COOINDA PRIMARY SCHOOL,Primary,-33.33437038,115.6519077,72
Western Australia,BUNBURY CATHOLIC COLLEGE,Secondary,-33.34342203,115.6614239,89
Western Australia,SOUTH HALLS HEAD PRIMARY SCHOOL,Primary,-32.56442979,115.6786312,92
Western Australia,ALKIMOS BEACH PRIMARY SCHOOL,Primary,-31.625186,115.678659,81
Western Australia,GRACE CHRISTIAN SCHOOL,Primary,-33.33832794,115.6810759,91
Western Australia,GRACE CHRISTIAN SCHOOL,Secondary,-33.33832794,115.6810759,93
Western Australia,DJIDI DJIDI ABORIGINAL SCHOOL,Primary,-33.3480231,115.6823564,68
Western Australia,ST JAMES' ANGLICAN SCHOOL,Primary,-31.618541,115.68637,84
Western Australia,ST JAMES' ANGLICAN SCHOOL,Secondary,-31.618541,115.68637,92
Western Australia,PICTON PRIMARY SCHOOL,Primary,-33.34079961,115.6883296,72
Western Australia,JOHN BUTLER PRIMARY COLLEGE,Primary,-31.6321576,115.6940333,72
Western Australia,NORTHSHORE CHRISTIAN GRAMMAR SCHOOL,Primary,-31.601801,115.694523,79
Western Australia,HALLS HEAD PRIMARY SCHOOL,Primary,-32.55019839,115.6949747,82
Western Australia,QUINNS BEACH PRIMARY SCHOOL,Primary,-31.65764478,115.6950346,79
Western Australia,ALKIMOS PRIMARY SCHOOL,Primary,-31.62699105,115.7026573,79
Western Australia,BUTLER PRIMARY SCHOOL,Primary,-31.6461099,115.7027364,79
Western Australia,EATON PRIMARY SCHOOL,Primary,-33.32181891,115.7028431,81
Western Australia,QUINNS ROCKS PRIMARY SCHOOL,Primary,-31.67298256,115.7028505,83
Western Australia,GLENCOE PRIMARY SCHOOL,Primary,-32.54229018,115.7041404,74
Western Australia,PETER MOYES ANGLICAN COMMUNITY SCHOOL,Primary,-31.67541576,115.7075982,88
Western Australia,PETER MOYES ANGLICAN COMMUNITY SCHOOL,Secondary,-31.67541576,115.7075982,91
Western Australia,BUTLER COLLEGE,Secondary,-31.65166367,115.7087008,79
Western Australia,MINDARIE PRIMARY SCHOOL,Primary,-31.687131,115.7093812,93
