Location,School Name,Type,Latitude,Longitude,Score
Western Australia,DALYELLUP PRIMARY SCHOOL,Primary,-33.39985687,115.6228338,964
Western Australia,DALYELLUP COLLEGE,Secondary,-33.40385496,115.6257673,981
Western Australia,BUNBURY BAPTIST COLLEGE,Primary,-33.400403,115.627001,1010
Western Australia,MAIDENS PARK PRIMARY SCHOOL,Primary,-33.36974451,115.6277556,838
Western Australia,OCEAN ROAD PRIMARY SCHOOL,Primary,-32.62467996,115.6307461,968
Western Australia,ST DAMIEN'S CATHOLIC PRIMARY SCHOOL,Primary,-32.62651453,115.6313815,1038
Western Australia,YANCHEP BEACH PRIMARY SCHOOL,Primary,-31.5440709,115.631774,988
Western Australia,BUNBURY SENIOR HIGH SCHOOL,Secondary,-33.32746917,115.6326077,1019
Western Australia,ST JOSEPH'S PRIMARY SCHOOL,Primary,-33.37377642,115.6330822,1017
Western Australia,TUART FOREST PRIMARY SCHOOL,Primary,-33.39160056,115.6346071,993
Western Australia,YANCHEP LAGOON PRIMARY SCHOOL,Primary,-31.55198666,115.6353379,982
Western Australia,ADAM ROAD PRIMARY SCHOOL,Primary,-33.357951,115.635371,970
Western Australia,NEWTON MOORE SENIOR HIGH SCHOOL,Secondary,-33.359211,115.6354214,920
Western Australia,BUNBURY PRIMARY SCHOOL,Primary,-33.33305655,115.6381042,1076
Western Australia,BUNBURY CATHEDRAL GRAMMAR SCHOOL,Primary,-33.404668,115.63864,1081
Western Australia,BUNBURY CATHEDRAL GRAMMAR SCHOOL,Secondary,-33.404668,115.63864,1081
Western Australia,SOUTH BUNBURY PRIMARY SCHOOL,Primary,-33.34068153,115.6428274,1001
Western Australia,FALCON PRIMARY SCHOOL,Primary,-32.59274022,115.6429808,1011
Western Australia,YANCHEP SECONDARY COLLEGE,Secondary,-31.552523,115.643429,978
Western Australia,ATLANTIS BEACH BAPTIST COLLEGE,Primary,-31.473535,115.644623,988
Western Australia,ATLANTIS BEACH BAPTIST COLLEGE,Secondary,-31.473535,115.644623,988
Western Australia,ST MARY'S CATHOLIC PRIMARY SCHOOL,Primary,-33.34321035,115.6449424,1071
Western Australia,CAREY PARK PRIMARY SCHOOL,Primary,-33.34906206,115.6505098,897
Western Australia,COOINDA PRIMARY SCHOOL,Primary,-33.33437038,115.6519077,965
Western Australia,MANEA SENIOR COLLEGE,Secondary,-33.36775659,115.6567975,1022
Western Australia,BUNBURY CATHOLIC COLLEGE,Secondary,-33.34342203,115.6614239,1035
Western Australia,SOUTH HALLS HEAD PRIMARY SCHOOL,Primary,-32.56442979,115.6786312,1027
Western Australia,ALKIMOS BEACH PRIMARY SCHOOL,Primary,-31.625186,115.678659,1025
